118 3406
0 1 3497
0 2 3111
0 3 3580
0 4 7053
0 6 6160
0 8 3944
0 10 7675
0 11 3643
0 12 4456
0 13 5134
0 14 7734
0 15 952
0 16 476
0 18 6901
0 19 3471
0 20 8787
0 22 2387
0 23 7263
0 25 4793
0 28 7882
0 31 6846
0 33 8861
0 37 5567
0 38 9036
0 45 3410
0 47 6880
0 48 6098
0 50 6195
0 54 4184
0 55 1954
0 56 5496
0 57 7020
0 58 5286
0 60 3434
0 61 363
0 62 2739
0 64 4351
0 65 7300
0 66 1904
0 74 2181
0 75 1806
0 76 9495
0 78 6695
0 80 6832
0 81 8223
0 82 2979
0 83 9663
0 84 2311
0 85 2113
0 86 2546
0 87 9194
0 88 4730
0 89 5821
0 90 6232
0 91 6599
0 92 7445
0 93 8112
0 95 2563
0 97 1670
0 99 7772
0 100 5361
0 102 4669
0 103 4515
0 107 3149
0 110 3263
0 111 6614
0 112 1046
0 114 190
0 117 7102
1 5 1591
1 6 9364
1 11 6617
1 12 8834
1 13 2769
1 15 4517
1 20 6636
1 22 7555
1 26 9700
1 29 3531
1 31 14
1 32 4696
1 34 668
1 35 3010
1 36 9601
1 38 7519
1 39 6566
1 40 5538
1 43 2932
1 45 8284
1 46 9640
1 47 4072
1 53 5034
1 56 6601
1 59 7857
1 60 8440
1 61 7088
1 63 4102
1 68 3927
1 70 7504
1 71 3636
1 73 7226
1 75 3854
1 76 6784
1 78 1230
1 81 7421
1 83 6525
1 84 353
1 87 5776
1 89 4585
1 91 9700
1 92 4932
1 94 2369
1 96 9766
1 97 4306
1 98 2788
1 101 9952
1 103 108
1 104 6238
1 106 1926
1 110 8417
1 112 9116
1 113 1152
1 116 1312
1 117 7612
2 4 9628
2 7 7605
2 9 5957
2 13 9804
2 16 9944
2 17 7407
2 19 1419
2 20 7243
2 21 6932
2 22 6199
2 23 6050
2 25 6724
2 26 1961
2 27 7124
2 32 8066
2 34 1404
2 35 3490
2 36 2274
2 37 8807
2 39 775
2 40 6978
2 42 4850
2 44 4469
2 46 2387
2 49 6885
2 50 7341
2 51 7945
2 52 396
2 53 6841
2 54 7147
2 55 7123
2 57 291
2 59 1904
2 62 5671
2 66 9202
2 67 3759
2 68 3208
2 69 633
2 72 548
2 73 8670
2 74 7097
2 75 9959
2 76 1891
2 77 1779
2 79 7352
2 81 670
2 83 7828
2 84 6745
2 85 5546
2 88 397
2 89 9632
2 92 2736
2 94 6599
2 95 9162
2 97 9848
2 101 5876
2 102 2768
2 105 1416
2 106 5328
2 107 8842
2 109 830
2 111 6018
2 112 9500
2 113 9514
2 114 907
2 117 6913
3 4 505
3 5 2906
3 6 6386
3 8 7834
3 12 8665
3 13 190
3 15 6652
3 16 6697
3 17 5388
3 18 7843
3 21 2834
3 22 945
3 24 5965
3 25 3025
3 32 6146
3 33 776
3 35 5301
3 40 3111
3 42 366
3 43 8179
3 46 3748
3 49 1412
3 50 1684
3 53 7180
3 55 2672
3 56 7279
3 57 2332
3 59 3573
3 62 3153
3 63 3887
3 69 2775
3 70 923
3 73 5598
3 75 6101
3 76 4668
3 77 9465
3 78 7520
3 79 5016
3 83 6922
3 86 2111
3 91 3035
3 92 1510
3 93 2166
3 94 3995
3 95 3190
3 100 4177
3 103 4415
3 104 9046
3 105 3547
3 108 2622
3 110 2305
3 111 7192
3 112 5375
3 115 7028
3 116 8583
4 5 3668
4 9 1260
4 10 9316
4 13 6600
4 14 9703
4 15 7548
4 16 8898
4 18 9910
4 19 9434
4 20 3852
4 23 4381
4 27 7274
4 29 2977
4 32 6611
4 34 7313
4 37 994
4 38 2243
4 40 7876
4 41 1496
4 43 9833
4 45 2560
4 51 4724
4 52 1604
4 56 1155
4 57 1506
4 58 7106
4 60 8757
4 63 9844
4 64 7217
4 65 2373
4 66 2911
4 67 7706
4 75 1459
4 79 7236
4 83 7420
4 84 4401
4 86 3979
4 88 2906
4 93 1710
4 94 5756
4 95 6806
4 97 3213
4 98 8604
4 99 228
4 100 3023
4 101 1850
4 103 7949
4 109 9798
4 111 5390
4 114 6939
4 117 5838
5 9 2298
5 10 7411
5 11 8802
5 16 7833
5 18 6172
5 20 5194
5 23 1480
5 25 3610
5 27 8001
5 30 7705
5 31 5293
5 32 5872
5 35 8147
5 36 4231
5 38 176
5 39 8644
5 44 813
5 45 4042
5 46 2379
5 48 1769
5 58 3814
5 59 8622
5 60 2277
5 63 7552
5 65 8484
5 67 1787
5 69 264
5 70 3819
5 71 7925
5 72 3348
5 73 9531
5 76 7404
5 77 379
5 78 5350
5 80 8074
5 81 1965
5 82 9230
5 83 939
5 84 630
5 85 3402
5 86 3818
5 87 2966
5 89 286
5 90 6507
5 92 3338
5 93 4673
5 95 9380
5 99 2447
5 100 3104
5 101 7832
5 102 3066
5 105 5485
5 108 9512
5 109 3730
5 111 186
5 112 7139
5 114 5910
5 115 6396
5 116 6256
6 7 8426
6 9 9
6 14 8300
6 15 6155
6 16 4088
6 17 4630
6 18 4396
6 20 7269
6 21 540
6 22 9183
6 24 4814
6 26 4322
6 28 5290
6 29 9631
6 30 9867
6 31 7902
6 34 1017
6 37 1737
6 38 7694
6 41 2556
6 45 9498
6 48 6777
6 50 685
6 51 2191
6 52 1027
6 53 9259
6 55 7710
6 56 6242
6 58 9081
6 61 6661
6 62 210
6 63 2450
6 64 3990
6 66 9245
6 68 7671
6 73 4828
6 74 4661
6 75 3642
6 77 3820
6 78 6696
6 79 1991
6 80 1688
6 81 6435
6 83 3170
6 84 89
6 86 7401
6 89 1695
6 90 5577
6 92 7936
6 98 8259
6 99 9693
6 102 2530
6 103 6552
6 110 8380
6 112 5877
6 114 8371
6 115 8596
6 116 2581
6 117 2463
7 11 3296
7 13 7176
7 17 5566
7 18 5884
7 20 7775
7 24 7261
7 26 5596
7 29 1342
7 30 5584
7 32 463
7 33 7880
7 36 4718
7 37 8445
7 38 5331
7 40 3956
7 41 3259
7 43 7772
7 44 7846
7 46 1291
7 47 207
7 49 439
7 51 7313
7 52 5563
7 54 2059
7 55 4973
7 56 5672
7 57 2360
7 58 3295
7 60 5396
7 61 4416
7 62 2325
7 66 5055
7 67 3918
7 68 5196
7 72 1387
7 75 3454
7 78 3239
7 80 4767
7 82 258
7 84 6507
7 87 9568
7 89 8591
7 90 1311
7 91 3733
7 92 7271
7 93 1468
7 96 6273
7 98 7960
7 99 7019
7 100 9273
7 101 9650
7 102 2513
7 103 1832
7 106 8479
7 107 7172
7 108 5661
7 111 1490
7 112 1614
7 113 596
7 115 8351
8 9 2237
8 10 1762
8 11 1049
8 12 8570
8 13 5413
8 14 3693
8 15 7659
8 21 4297
8 22 4348
8 23 2879
8 25 1467
8 27 8908
8 29 5526
8 31 2433
8 32 3550
8 34 3401
8 37 1186
8 41 4488
8 43 8583
8 45 8231
8 46 8412
8 47 3390
8 51 5276
8 52 3713
8 53 504
8 55 3148
8 59 7446
8 63 2922
8 64 9675
8 67 4188
8 68 4843
8 69 4221
8 71 8177
8 72 8230
8 76 7510
8 78 8468
8 80 8140
8 81 553
8 82 4417
8 83 9084
8 87 9267
8 88 7878
8 89 5715
8 90 8768
8 91 6230
8 92 6765
8 94 2997
8 95 9942
8 96 5740
8 98 5357
8 101 6757
8 108 2540
8 110 1800
8 111 1078
8 112 548
8 116 9905
9 13 238
9 14 4991
9 15 2607
9 18 7274
9 24 4020
9 25 4673
9 27 2932
9 28 3283
9 30 2831
9 31 4841
9 32 7172
9 33 9800
9 34 6149
9 35 3546
9 36 6110
9 37 842
9 38 598
9 39 8591
9 40 3433
9 41 4423
9 46 6439
9 47 515
9 48 7222
9 50 4953
9 53 9748
9 54 4687
9 57 6464
9 58 3200
9 59 7108
9 61 104
9 63 4232
9 64 3700
9 66 3129
9 67 7064
9 69 2339
9 71 3354
9 72 4762
9 74 6469
9 79 4368
9 83 838
9 84 6662
9 85 4714
9 87 4212
9 88 9035
9 90 5288
9 94 5975
9 99 6550
9 107 9735
9 109 7415
9 111 2911
9 113 39
9 116 9054
9 117 4042
10 11 5566
10 12 4274
10 17 6561
10 24 5345
10 25 2242
10 26 6872
10 28 4630
10 29 8844
10 31 8103
10 32 7046
10 34 9945
10 38 9716
10 43 2300
10 45 6684
10 47 8618
10 49 4962
10 52 5440
10 54 189
10 58 2056
10 59 2899
10 61 2467
10 62 7327
10 65 8259
10 67 3757
10 70 4219
10 72 3321
10 74 2787
10 75 595
10 76 2919
10 80 715
10 81 4418
10 82 9158
10 83 3024
10 84 6943
10 88 9284
10 90 6709
10 92 9718
10 93 5919
10 94 1715
10 95 29
10 97 8552
10 101 4177
10 103 2751
10 105 7276
10 111 3769
10 112 8939
10 113 6793
10 115 5174
10 116 3158
11 16 33
11 17 9215
11 18 1774
11 19 6687
11 24 3808
11 25 4526
11 26 1077
11 27 4093
11 30 7996
11 32 651
11 37 2349
11 40 9132
11 41 1005
11 42 5108
11 46 2216
11 47 9746
11 48 6340
11 49 6549
11 50 4189
11 55 8801
11 57 543
11 58 7695
11 60 66
11 67 5989
11 68 6833
11 69 1560
11 72 4799
11 74 9100
11 75 3207
11 81 2959
11 82 8387
11 85 3324
11 86 5336
11 87 109
11 88 5393
11 90 2157
11 92 5611
11 100 7542
11 106 3585
11 108 6511
11 110 4806
11 111 2639
11 112 7784
11 115 4732
12 13 1205
12 14 5984
12 19 8069
12 20 9417
12 21 3733
12 22 5082
12 23 7978
