kruskal algorithom using path compression

Edge     	weight
77 - 106 	0 
35 - 106 	1 
39 - 112 	1 
51 - 68 	7 
6 - 9 	9 
1 - 31 	14 
19 - 23 	16 
31 - 106 	20 
86 - 94 	24 
45 - 113 	26 
10 - 95 	29 
28 - 104 	32 
11 - 16 	33 
12 - 97 	34 
13 - 109 	36 
23 - 32 	36 
14 - 104 	37 
9 - 113 	39 
52 - 105 	40 
54 - 100 	42 
19 - 25 	48 
52 - 86 	48 
12 - 37 	49 
83 - 100 	59 
35 - 54 	64 
36 - 58 	64 
11 - 60 	66 
54 - 84 	75 
36 - 63 	78 
22 - 95 	81 
6 - 84 	89 
34 - 59 	92 
17 - 24 	93 
29 - 55 	93 
61 - 109 	95 
56 - 89 	96 
9 - 61 	104 
73 - 75 	104 
20 - 92 	107 
113 - 116 	107 
1 - 103 	108 
11 - 87 	109 
27 - 107 	114 
55 - 108 	120 
30 - 47 	129 
53 - 90 	134 
72 - 108 	137 
31 - 55 	141 
46 - 90 	143 
63 - 101 	144 
42 - 72 	153 
13 - 79 	155 
28 - 43 	156 
48 - 111 	157 
39 - 53 	162 
23 - 84 	163 
68 - 86 	168 
14 - 114 	171 
5 - 38 	176 
59 - 66 	179 
105 - 107 	179 
5 - 111 	186 
10 - 54 	189 
16 - 63 	189 
0 - 114 	190 
3 - 13 	190 
37 - 63 	191 
68 - 72 	192 
27 - 40 	196 
20 - 89 	203 
7 - 47 	207 
6 - 62 	210 
13 - 82 	210 
73 - 90 	210 
26 - 109 	216 
99 - 101 	217 
4 - 99 	228 
19 - 98 	232 
52 - 65 	232 
70 - 102 	236 
13 - 110 	240 
50 - 97 	242 
54 - 76 	244 
48 - 61 	247 
95 - 97 	247 
98 - 104 	254 
7 - 82 	258 
5 - 69 	264 
70 - 92 	283 
5 - 89 	286 
17 - 91 	286 
2 - 57 	291 
28 - 34 	297 
44 - 106 	297 
49 - 73 	300 
37 - 90 	302 
74 - 75 	312 
19 - 21 	314 
33 - 82 	315 
80 - 113 	345 
27 - 117 	351 
14 - 17 	353 
57 - 103 	359 
64 - 89 	362 
51 - 88 	374 
73 - 85 	389 
42 - 96 	399 
18 - 83 	431 
67 - 77 	437 
71 - 87 	461 
15 - 111 	490 
8 - 53 	504 
8 - 81 	553 
78 - 92 	560 
15 - 93 	666 
35 - 41 	671 
13 - 115 	752 
Minimum spnning tree:  22846

Time taken by program is : 0.021000 sec 
