190 8978
0 1 392
0 2 2882
0 3 1569
0 4 630
0 6 1810
0 8 8619
0 10 6048
0 11 5559
0 12 1072
0 13 3342
0 14 4782
0 15 7815
0 16 6407
0 18 6099
0 19 7554
0 20 1380
0 22 8025
0 23 4978
0 25 9495
0 28 5328
0 31 9718
0 33 5692
0 37 3556
0 38 1398
0 45 342
0 47 1944
0 48 1455
0 50 232
0 54 5999
0 55 7251
0 56 7926
0 57 8434
0 58 5639
0 60 792
0 61 5240
0 62 6902
0 64 9386
0 65 5258
0 66 5156
0 74 3070
0 75 8664
0 76 550
0 78 4575
0 80 3630
0 81 1770
0 82 7984
0 83 9456
0 84 4028
0 85 546
0 86 3407
0 87 4550
0 88 7017
0 89 5016
0 90 7264
0 91 2184
0 92 796
0 93 790
0 95 7662
0 97 9145
0 99 2516
0 100 9506
0 102 6535
0 103 6181
0 107 4491
0 110 5911
0 111 47
0 112 3484
0 114 9392
0 117 4811
0 121 9504
0 122 2485
0 127 1092
0 128 9212
0 129 3950
0 131 9448
0 136 2285
0 138 7994
0 142 6401
0 145 7398
0 147 3068
0 148 2776
0 150 8484
0 151 6466
0 152 111
0 154 1058
0 155 4242
0 156 8729
0 159 5380
0 161 8265
0 162 5640
0 163 7499
0 169 3954
0 172 4928
0 175 8102
0 176 5698
0 177 9194
0 179 5990
0 184 2747
0 186 6824
0 187 2329
0 189 9061
1 3 1416
1 4 5871
1 6 3318
1 9 1583
1 11 5860
1 12 3523
1 15 1238
1 17 4542
1 19 300
1 20 165
1 22 8206
1 24 6968
1 25 9529
1 26 6089
1 29 6153
1 31 3168
1 32 5362
1 34 3338
1 38 1915
1 40 599
1 41 5129
1 44 3307
1 45 5938
1 47 2236
1 50 7804
1 52 7694
1 56 5529
1 59 2846
1 60 3331
1 62 499
1 63 719
1 64 9038
1 65 387
1 66 1335
1 68 5133
1 69 9577
1 70 411
1 75 2910
1 77 5520
1 78 9247
1 79 7670
1 80 6562
1 82 6981
1 83 9819
1 85 929
1 87 2948
1 89 2612
1 92 2611
1 93 6679
1 94 8974
1 95 3278
1 96 6470
1 97 381
1 98 3277
1 100 8905
1 102 7512
1 105 6262
1 109 7252
1 110 6814
1 111 9020
1 112 6759
1 115 3921
1 116 6515
1 117 653
1 118 5993
1 119 7830
1 120 878
1 122 8533
1 124 8381
1 126 8271
1 127 6157
1 128 2835
1 131 5214
1 132 6012
1 135 6029
1 137 7047
1 138 3919
1 140 9427
1 144 2789
1 145 7940
1 148 7823
1 149 1559
1 150 2316
1 152 3169
1 154 5517
1 155 5677
1 156 9719
1 157 3872
1 160 3827
1 161 2936
1 162 9999
1 163 9095
1 165 6743
1 169 5798
1 170 354
1 172 1402
1 173 7136
1 174 1049
1 175 2167
1 178 4105
1 179 1013
1 181 6219
1 182 3374
1 189 5204
2 3 3313
2 5 6297
2 10 559
2 12 3799
2 13 7677
2 16 1919
2 19 9782
2 20 2458
2 23 2074
2 25 4811
2 26 9557
2 27 6297
2 29 1747
2 32 5180
2 33 5531
2 39 4078
2 40 901
2 43 3661
2 45 1086
2 46 4575
2 47 7809
2 48 3204
2 49 9251
2 53 1010
2 56 2154
2 61 5562
2 62 3744
2 63 4738
2 64 6009
2 65 9578
2 70 3923
2 73 1609
2 74 437
2 75 7590
2 78 7513
2 80 6793
2 81 9152
2 82 7594
2 85 1156
2 86 4455
2 88 3788
2 92 6482
2 93 8882
2 96 774
2 97 5101
2 98 5954
2 99 682
2 101 9131
2 102 3238
2 103 5908
2 106 5179
2 110 3297
2 112 1145
2 115 2801
2 117 1908
2 120 8342
2 121 4903
2 123 9118
2 124 7227
2 126 5002
2 128 4013
2 134 5929
2 135 1023
2 139 1296
2 140 9543
2 141 7212
2 143 9943
2 146 9843
2 147 7166
2 148 3879
2 149 3864
2 150 7089
2 158 1735
2 162 6475
2 166 4670
2 167 1264
2 169 2866
2 171 8487
2 176 1260
2 177 1179
2 178 6739
2 180 3180
2 181 6381
2 182 2348
2 183 2398
2 184 2541
2 186 748
3 6 6177
3 8 3907
3 11 3280
3 14 8980
3 18 3391
3 19 4105
3 20 3367
3 25 1211
3 27 5236
3 29 5331
3 32 7394
3 34 7373
3 36 9126
3 39 9711
3 40 8117
3 41 2028
3 44 6059
3 45 5925
3 47 4024
3 48 6748
3 53 7099
3 54 4123
3 55 5265
3 57 2009
3 67 1513
3 68 3565
